"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 10:20:04.100,1 Jun 2023 10:22:33.810,149.711
2,1 Jun 2023 11:53:42.862,1 Jun 2023 11:56:31.903,169.041
3,1 Jun 2023 13:26:52.605,1 Jun 2023 13:28:35.638,103.033
4,2 Jun 2023 08:40:46.153,2 Jun 2023 08:44:03.508,197.354
5,2 Jun 2023 10:15:10.682,2 Jun 2023 10:17:20.833,130.151
6,2 Jun 2023 11:48:18.365,2 Jun 2023 11:51:18.692,180.327
7,2 Jun 2023 13:22:20.494,2 Jun 2023 13:22:50.579,30.085
8,3 Jun 2023 08:35:30.798,3 Jun 2023 08:38:42.102,191.304
9,3 Jun 2023 10:10:01.531,3 Jun 2023 10:12:09.632,128.101
10,3 Jun 2023 11:42:58.646,3 Jun 2023 11:45:58.138,179.492
11,4 Jun 2023 06:58:31.243,4 Jun 2023 07:00:02.258,91.015
12,4 Jun 2023 08:30:27.110,4 Jun 2023 08:33:25.943,178.833
13,4 Jun 2023 10:04:45.469,4 Jun 2023 10:07:09.385,143.916
14,4 Jun 2023 11:37:37.645,4 Jun 2023 11:40:14.007,156.362
15,5 Jun 2023 06:51:45.715,5 Jun 2023 06:54:56.659,190.945
16,5 Jun 2023 08:25:32.031,5 Jun 2023 08:28:09.865,157.834
17,5 Jun 2023 09:59:25.804,5 Jun 2023 10:02:04.376,158.572
18,5 Jun 2023 11:32:23.226,5 Jun 2023 11:34:23.835,120.609
19,6 Jun 2023 06:46:23.012,6 Jun 2023 06:49:41.946,198.934
20,6 Jun 2023 08:20:34.584,6 Jun 2023 08:22:55.580,140.996
21,6 Jun 2023 09:53:59.080,6 Jun 2023 09:56:54.398,175.318
22,6 Jun 2023 11:27:26.792,6 Jun 2023 11:28:47.078,80.286
23,7 Jun 2023 06:41:05.469,7 Jun 2023 06:44:21.774,196.305
24,7 Jun 2023 08:15:35.221,7 Jun 2023 08:17:43.566,128.345
25,7 Jun 2023 09:48:36.835,7 Jun 2023 09:51:39.245,182.410
26,8 Jun 2023 05:04:37.578,8 Jun 2023 05:05:25.381,47.803
27,8 Jun 2023 06:35:55.935,8 Jun 2023 06:39:02.867,186.932
28,8 Jun 2023 08:10:22.989,8 Jun 2023 08:12:37.327,134.338
29,8 Jun 2023 09:43:16.456,8 Jun 2023 09:46:10.678,174.222

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 11:07:13.808,1 Jun 2023 11:09:24.959,131.151
2,1 Jun 2023 12:40:08.479,1 Jun 2023 12:43:05.611,177.133
3,2 Jun 2023 07:54:39.532,2 Jun 2023 07:57:18.440,158.908
4,2 Jun 2023 09:27:44.461,2 Jun 2023 09:30:37.470,173.008
5,2 Jun 2023 11:01:56.260,2 Jun 2023 11:04:24.587,148.327
6,2 Jun 2023 12:34:48.699,2 Jun 2023 12:37:14.404,145.705
7,3 Jun 2023 07:48:54.430,3 Jun 2023 07:52:09.373,194.943
8,3 Jun 2023 09:22:47.768,3 Jun 2023 09:25:21.773,154.005
9,3 Jun 2023 10:56:35.031,3 Jun 2023 10:59:18.204,163.173
10,3 Jun 2023 12:29:37.170,3 Jun 2023 12:31:31.242,114.073
11,4 Jun 2023 07:43:33.895,4 Jun 2023 07:46:52.919,199.025
12,4 Jun 2023 09:17:56.307,4 Jun 2023 09:20:08.122,131.815
13,4 Jun 2023 10:51:08.547,4 Jun 2023 10:54:06.620,178.073
14,4 Jun 2023 12:24:49.550,4 Jun 2023 12:25:51.635,62.085
